explorerTitle	Count - Question: 
selection	World

graphers
	question Dropdown	answer Dropdown	gender Dropdown	age_group Dropdown	yVariableIds	hasMapTab
	w7a - Trust scientists to find out accurate information about the world	Not much	male	65+	685617	true
	w7a - Trust scientists to find out accurate information about the world	Not much	male	Don't know/Refused	685619	true
	w7a - Trust scientists to find out accurate information about the world	Not much	male	all	685621	true
	w7a - Trust scientists to find out accurate information about the world	Some	all	15-29	685623	true
	w7a - Trust scientists to find out accurate information about the world	Some	all	30-49	685625	true
	w7a - Trust scientists to find out accurate information about the world	Some	all	50-64	685627	true
	w7a - Trust scientists to find out accurate information about the world	Some	all	65+	685629	true
	w7a - Trust scientists to find out accurate information about the world	Some	all	Don't know/Refused	685631	true
	w7a - Trust scientists to find out accurate information about the world	Some	all	all	685633	true
	w7a - Trust scientists to find out accurate information about the world	Some	female	15-29	685635	true
	w7a - Trust scientists to find out accurate information about the world	Some	female	30-49	685637	true
	w7a - Trust scientists to find out accurate information about the world	Some	female	50-64	685639	true
	w7a - Trust scientists to find out accurate information about the world	Some	female	65+	685641	true
	w7a - Trust scientists to find out accurate information about the world	Some	female	Don't know/Refused	685643	true
	w7a - Trust scientists to find out accurate information about the world	Some	female	all	685645	true
	w7a - Trust scientists to find out accurate information about the world	Some	male	15-29	685648	true
	w7a - Trust scientists to find out accurate information about the world	Some	male	30-49	685649	true
	w7a - Trust scientists to find out accurate information about the world	Some	male	50-64	685650	true
	w7a - Trust scientists to find out accurate information about the world	Some	male	65+	685654	true
	w7a - Trust scientists to find out accurate information about the world	Some	male	Don't know/Refused	685655	true
	w7a - Trust scientists to find out accurate information about the world	Some	male	all	685657	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	all	15-29	685659	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	all	30-49	685661	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	all	50-64	685663	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	all	65+	685665	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	all	Don't know/Refused	685667	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	all	all	685669	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	female	15-29	685671	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	female	30-49	685673	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	female	50-64	685675	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	female	65+	685677	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	female	Don't know/Refused	685679	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	female	all	685681	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	male	15-29	685682	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	male	30-49	685685	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	male	50-64	685686	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	male	65+	685690	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	male	Don't know/Refused	685691	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	A lot	male	all	685694	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	all	15-29	685695	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	all	30-49	685697	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	all	50-64	685699	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	all	65+	685701	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	all	Don't know/Refused	685703	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	all	all	685705	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	female	15-29	685708	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	female	30-49	685709	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	female	50-64	685711	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	female	65+	685713	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	female	Don't know/Refused	685716	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	female	all	685717	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	male	15-29	685719	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	male	30-49	685721	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	male	50-64	685724	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	male	65+	685726	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	male	Don't know/Refused	685727	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Don't know/Refused	male	all	685729	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	all	15-29	685731	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	all	30-49	685733	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	all	50-64	685735	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	all	65+	685737	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	all	Don't know/Refused	685739	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	all	all	685741	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	female	15-29	685743	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	female	30-49	685745	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	female	50-64	685747	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	female	65+	685749	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	female	Don't know/Refused	685751	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	female	all	685753	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	male	15-29	685755	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	male	30-49	685757	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	male	50-64	685758	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	male	65+	685761	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	male	Don't know/Refused	685763	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not at all	male	all	685765	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	all	15-29	685768	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	all	30-49	685769	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	all	50-64	685771	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	all	65+	685773	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	all	Don't know/Refused	685775	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	all	all	685777	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	female	15-29	685779	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	female	30-49	685780	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	female	50-64	685783	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	female	65+	685785	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	female	Don't know/Refused	685787	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	female	all	685790	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	male	15-29	685791	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	male	30-49	685793	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	male	50-64	685795	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	male	65+	685797	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	male	Don't know/Refused	685799	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Not much	male	all	685801	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	all	15-29	685804	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	all	30-49	685805	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	all	50-64	685807	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	all	65+	685809	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	all	Don't know/Refused	685811	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	all	all	685812	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	female	15-29	685815	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	female	30-49	685817	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	female	50-64	685819	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	female	65+	685821	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	female	Don't know/Refused	685822	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	female	all	685825	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	male	15-29	685827	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	male	30-49	685829	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	male	50-64	685830	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	male	65+	685833	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	male	Don't know/Refused	685836	true
	w7b - Trust scientists to do their work with the intention of benefiting the public	Some	male	all	685837	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	all	15-29	685839	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	all	30-49	685841	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	all	50-64	685843	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	all	65+	685845	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	all	Don't know/Refused	685847	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	all	all	685849	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	female	15-29	685851	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	female	30-49	685853	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	female	50-64	685855	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	female	65+	685857	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	female	Don't know/Refused	685859	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	female	all	685861	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	male	15-29	685863	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	male	30-49	685865	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	male	50-64	685867	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	male	65+	685869	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	male	Don't know/Refused	685871	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	A lot	male	all	685873	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	all	15-29	685875	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	all	30-49	685877	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	all	50-64	685879	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	all	65+	685880	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	all	Don't know/Refused	685883	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	all	all	685885	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	female	15-29	685887	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	female	30-49	685889	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	female	50-64	685891	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	female	65+	685892	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	female	Don't know/Refused	685895	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	female	all	685897	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	male	15-29	685899	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	male	30-49	685901	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	male	50-64	685903	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	male	65+	685905	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	male	Don't know/Refused	685906	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Don't know/Refused	male	all	685909	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	all	15-29	685911	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	all	30-49	685912	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	all	50-64	685915	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	all	65+	685917	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	all	Don't know/Refused	685919	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	all	all	685921	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	female	15-29	685923	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	female	30-49	685925	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	female	50-64	685927	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	female	65+	685929	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	female	Don't know/Refused	685931	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	female	all	685933	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	male	15-29	685935	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	male	30-49	685937	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	male	50-64	685939	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	male	65+	685941	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	male	Don't know/Refused	685944	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not at all	male	all	685945	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	all	15-29	685947	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	all	30-49	685949	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	all	50-64	685951	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	all	65+	685954	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	all	Don't know/Refused	685955	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	all	all	685957	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	female	15-29	685959	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	female	30-49	685961	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	female	50-64	685963	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	female	65+	685965	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	female	Don't know/Refused	685968	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	female	all	685969	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	male	15-29	685971	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	male	30-49	685973	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	male	50-64	685975	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	male	65+	685977	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	male	all	685979	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Not much	male	Don't know/Refused	685981	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	all	15-29	685982	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	all	30-49	685985	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	all	50-64	685987	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	all	65+	685989	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	all	Don't know/Refused	685991	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	all	all	685993	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	female	15-29	685995	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	female	30-49	685997	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	female	50-64	685999	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	female	65+	686001	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	female	Don't know/Refused	686003	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	female	all	686005	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	male	15-29	686007	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	male	30-49	686010	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	male	50-64	686011	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	male	65+	686013	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	male	Don't know/Refused	686014	true
	w7c - Trust leaders in the national government to value opinions and expertise of scientists	Some	male	all	686017	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	all	15-29	686020	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	all	30-49	686021	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	all	50-64	686023	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	all	65+	686025	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	all	Don't know/Refused	686027	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	all	all	686029	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	female	15-29	686031	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	female	30-49	686033	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	female	50-64	686035	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	female	65+	686037	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	female	Don't know/Refused	686039	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	female	all	686040	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	male	15-29	686043	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	male	30-49	686045	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	male	50-64	686047	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	male	65+	686049	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	male	Don't know/Refused	686050	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Don't know/Refused	male	all	686053	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	all	15-29	686054	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	all	30-49	686057	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	all	50-64	686059	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	all	65+	686061	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	all	Don't know/Refused	686063	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	all	all	686065	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	female	15-29	686067	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	female	30-49	686069	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	female	50-64	686071	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	female	65+	686073	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	female	Don't know/Refused	686075	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	female	all	686077	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	male	15-29	686079	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	male	30-49	686081	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	male	50-64	686083	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	male	65+	686085	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	male	Don't know/Refused	686088	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Most	male	all	686089	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	all	15-29	686091	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	all	30-49	686093	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	all	50-64	686095	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	all	65+	686097	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	all	Don't know/Refused	686099	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	all	all	686101	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	female	15-29	686103	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	female	30-49	686105	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	female	50-64	686107	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	female	65+	686109	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	female	Don't know/Refused	686111	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	female	all	686114	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	male	15-29	686115	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	male	30-49	686117	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	male	50-64	686119	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	male	65+	686121	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	male	Don't know/Refused	686123	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Some	male	all	686126	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	all	15-29	686127	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	all	30-49	686129	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	all	50-64	686131	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	all	65+	686132	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	all	Don't know/Refused	686135	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	all	all	686137	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	female	15-29	686139	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	female	30-49	686141	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	female	50-64	686143	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	female	65+	686145	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	female	Don't know/Refused	686147	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	female	all	686149	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	male	15-29	686151	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	male	30-49	686153	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	male	50-64	686155	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	male	65+	686158	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	male	Don't know/Refused	686159	true
	w8 - Work from scientists in your country benefits most, some, or very few people	Very few	male	all	686161	true
	w9 - Work from scientists in your country has benefited people like you	A little	all	15-29	686163	true
	w9 - Work from scientists in your country has benefited people like you	A little	all	30-49	686165	true
	w9 - Work from scientists in your country has benefited people like you	A little	all	50-64	686166	true
	w9 - Work from scientists in your country has benefited people like you	A little	all	65+	686169	true
	w9 - Work from scientists in your country has benefited people like you	A little	all	Don't know/Refused	686171	true
	w9 - Work from scientists in your country has benefited people like you	A little	all	all	686173	true
	w9 - Work from scientists in your country has benefited people like you	A little	female	15-29	686175	true
	w9 - Work from scientists in your country has benefited people like you	A little	female	30-49	686177	true
	w9 - Work from scientists in your country has benefited people like you	A little	female	50-64	686179	true
	w9 - Work from scientists in your country has benefited people like you	A little	female	65+	686181	true
	w9 - Work from scientists in your country has benefited people like you	A little	female	Don't know/Refused	686183	true
	w9 - Work from scientists in your country has benefited people like you	A little	female	all	686185	true
	w9 - Work from scientists in your country has benefited people like you	A little	male	30-49	686187	true
	w9 - Work from scientists in your country has benefited people like you	A little	male	15-29	686188	true
	w9 - Work from scientists in your country has benefited people like you	A little	male	50-64	686191	true
	w9 - Work from scientists in your country has benefited people like you	A little	male	65+	686193	true
	w9 - Work from scientists in your country has benefited people like you	A little	male	Don't know/Refused	686195	true
	w9 - Work from scientists in your country has benefited people like you	A little	male	all	686197	true
	w9 - Work from scientists in your country has benefited people like you	A lot	all	15-29	686199	true
	w9 - Work from scientists in your country has benefited people like you	A lot	all	30-49	686201	true
	w9 - Work from scientists in your country has benefited people like you	A lot	all	50-64	686203	true
	w9 - Work from scientists in your country has benefited people like you	A lot	all	65+	686205	true
	w9 - Work from scientists in your country has benefited people like you	A lot	all	Don't know/Refused	686207	true
	w9 - Work from scientists in your country has benefited people like you	A lot	all	all	686209	true
	w9 - Work from scientists in your country has benefited people like you	A lot	female	15-29	686211	true
	w9 - Work from scientists in your country has benefited people like you	A lot	female	30-49	686213	true
	w9 - Work from scientists in your country has benefited people like you	A lot	female	50-64	686215	true
	w9 - Work from scientists in your country has benefited people like you	A lot	female	65+	686217	true
	w9 - Work from scientists in your country has benefited people like you	A lot	female	Don't know/Refused	686219	true
	w9 - Work from scientists in your country has benefited people like you	A lot	female	all	686222	true
	w9 - Work from scientists in your country has benefited people like you	A lot	male	15-29	686223	true
	w9 - Work from scientists in your country has benefited people like you	A lot	male	30-49	686225	true
	w9 - Work from scientists in your country has benefited people like you	A lot	male	50-64	686227	true
	w9 - Work from scientists in your country has benefited people like you	A lot	male	65+	686228	true
	w9 - Work from scientists in your country has benefited people like you	A lot	male	Don't know/Refused	686231	true
	w9 - Work from scientists in your country has benefited people like you	A lot	male	all	686233	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	all	15-29	686235	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	all	30-49	686238	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	all	50-64	686239	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	all	65+	686241	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	all	Don't know/Refused	686243	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	all	all	686245	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	female	15-29	686248	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	female	30-49	686249	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	female	50-64	686251	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	female	65+	686253	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	female	Don't know/Refused	686255	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	female	all	686257	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	male	15-29	686259	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	male	30-49	686261	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	male	50-64	686263	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	male	65+	686265	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	male	Don't know/Refused	686267	true
	w9 - Work from scientists in your country has benefited people like you	Don't know/Refused	male	all	686269	true
	w9 - Work from scientists in your country has benefited people like you	Not at all	all	15-29	686271	true
